Наименование;Цена;Ед.;Артикул
    1009 Подшипник КПП 3302 Некст втор вала передний (с коротк ролик) (до 2017 г);7 580,00 руб.;шт;232749
    102605 Подшипник хвостовика 3307 (задний носок);770,00 руб.;шт;232750
    15276 подшипник КПП 3302 Некст  промвала средний конический;995,00 руб.;шт;232751
    160308 Подшипник полуоси моста (закрытый);550,00 руб.;шт;232752
    180204 Подшипник рулевого кардана 3307 верхний;115,00 руб.;шт;232753
    180205 подшипник маховика Валдай;119,00 руб.;шт;232754
    180206 Подшипник промеж.опоры Волга;162,00 руб.;шт;232755
    2007109АК (32009)Подшипник задней ступицы 2217 наруж.( КПП Газель Некст);630,00 руб.;шт;232756
    207 Подшипник ШРУСА Газель 4х4;240,00 руб.;шт;232757
    213 ВОЛОГДА подшипник КПП Валдай первичного вала;1 310,00 руб.;шт;232758
    213 ПРОСТОЙ подшипник КПП Валдай первичного вала;630,00 руб.;шт;232759
    215 подшипник дифференциала Р/К 3302 4х4;826,00 руб.;шт;232760
    264706 Подшипник вторичного вала КПП Валдай;230,00 руб.;шт;232761
    27308 (31308) Подшипник хвостовика ГАЗ-53/ Газель Некст;775,00 руб.;шт;232762
    27310 (31310) Подшипник хвостовика ПАЗ Вектор;1 030,00 руб.;шт;232763
    27606 Подшипник хвостовика 3302 передн.;668,00 руб.;шт;232764
    27607 Подшипник хвостовика 3302 задний;821,00 руб.;шт;232765
    27709 Подшипник хвостовика ГАЗ-53;942,00 руб.;шт;232766
    311 Подшипник SKF без канавки (закрыт с 2-х стор) КПП Газон Некст первичного вала;2 860,00 руб.;шт;232767
    3306А подшипник КПП 3302 Некст  двойной (3056306) (до 2017 г);2 950,00 руб.;шт;232768
    33205 подшипник КПП 3302 Некст РОССИЯ промвала передн конический;530,00 руб.;шт;232769
    33205 подшипник КПП 3302 Некст ЯПОНИЯ (KOY) промвала передн конический;1 680,00 руб.;шт;232770
    3КК42х47х 30Е+ 3КК37х42х31Е Подшипник игольчат.5-ти ступ.КПП (к-кт 5 шт);278,00 руб.;компл;232771
    3КК42х47х26Е Подшипник игольчат КПП СРЕДНИЙ Газель Некст;120,00 руб.;шт;232772
    42207 Подшипник блока шестерен ГАЗ-53 передний;645,00 руб.;шт;232773
    42305 подшипник КПП Газель Некст роликов ВПЗ-15 Волжский Стандарт;725,00 руб.;шт;232774
    42306 Подшипник раздатки 3302 4х4;780,00 руб.;шт;232775
    502 толстый Подшипник коленв ВАЗ,генератора задний (62202) ;115,00 руб.;шт;232776
    50209 Подшипник первичного вала КПП ГАЗ-53;325,00 руб.;шт;232777
    50305 металл ВОЛОГДА Подшипник промеж.вала (металлич.сепаратор) КПП 2108;555,00 руб.;шт;232778
    50305 металл Япония  NTN Подшипник промеж.вала (металлич.сепаратор) ;1 030,00 руб.;шт;232779
    50305 металл Япония KOY Подшипник промеж.вала ;960,00 руб.;шт;232780
    50306 подшипник раздатки 3302 4х4/привод.2121 (открытый);295,00 руб.;шт;232781
    50307 ЗАКРЫТЫЙ Вологда Подшипник шариковый первичного вала;963,00 руб.;шт;232782
    50307 открытый Вологда Подшипник шариковый первичного вала;825,00 руб.;шт;232783
    50308 с канавк  СКФ  В УПАКОВКЕ (SKF 6308 N) подшипн КПП Газель Некст ;1 880,00 руб.;шт;232784
    50308 с канавк  СКФ БЕЗ УПАК подшипник КПП Газель Некст ;1 150,00 руб.;шт;232785
    50308 с канавк Япония KOYO подшипник КПП Газель Некст  !!!;2 030,00 руб.;шт;232786
    50311 Подшипник ВОЛОГДА вторичного вала КПП Валдай;2 550,00 руб.;шт;232787
    50311 Подшипник ПРОСТОЙ вторичного вала КПП Валдай;840,00 руб.;шт;232788
