Наименование;Цена;Ед.;Артикул
    150212 (6212) подшипник пер.вала зад.КПП ЗИЛ !_;431,00 руб.;шт;395644
    50310 (6310) подшипник вторичного вала зад.КПП ЗИЛ !_;462,00 руб.;шт;395645
    7516 Подшипник дифференциала ЗИЛ (32216);954,00 руб.;шт;395646
    7517 Подшипник задней ступицы ЗИЛ внутренний (32217);1 210,00 руб.;шт;395647
    7611 подшипник ступ.пер.внутр. ПАЗ,ЗиЛ;1 390,00 руб.;шт;395648
    Амортизатор ПАЗ,Камаз с металлич пыльником 53212;1 760,00 руб.;шт;395649
    Бампер ПАЗ 3205 зад пласт серый;1 362,00 руб.;шт;395650
    Бампер ПАЗ 3205 пер пласт серый;1 473,00 руб.;шт;395651
    Барабан тормозной ПАЗ 3205 высокий перед (высота 200мм) (6 шпилек, ступица 160мм) (Канаш);4 143,00 руб.;шт;395652
    Барабан тормозной ПАЗ 3205 низкий зад (высота 177 мм 6 шпилек, ступица 160мм) (Канаш);4 450,00 руб.;шт;395653
    Барабан тормозной ПАЗ Аврора зад (Рязанский мост) (8 шпилек);8 820,00 руб.;шт;395654
    Бачок расширит ПАЗ ВЕКТОР голый;357,00 руб.;шт;395655
    Блок управл стеклоочистителем ПАЗ (БУС-01) _;2 933,00 руб.;шт;395656
    Боковина бампера ПАЗ заднего резинов (накладка);350,00 руб.;шт;395657
    Болт штуцер на форсунку 240 дв Е2 ПАЗ (М8х19);70,00 руб.;шт;395658
    Болт штуцер на форсунку 240 дв Е2 ПАЗ (средний) (М8х30) под 2 отв;175,00 руб.;шт;395659
    Болт штуцер на форсунку ЗИЛ-5301 (М10х22);100,00 руб.;шт;395660
    Вакуумный усилитель тормозов ПАЗ 3205 без цилиндра;2 481,00 руб.;шт;395661
    Вакуумный усилитель тормозов ПАЗ 3205 в сб с цил;5 587,00 руб.;шт;395662
    Вал первичный КПП ПАЗ 5-ти ступ (Z=22, L=285) (городской) !_;11 890,00 руб.;шт;395663
    Валик акселератора ПАЗ промеж в сб с кронштейном;406,00 руб.;шт;395664
    Валик водяного насоса ПАЗ (вентилятора);760,00 руб.;шт;395665
    Вкладыш рул пальца Бычок 4331 верхн !_;65,00 руб.;шт;395666
    Вкладыш рул пальца ЗИЛ-130 продольной тяги (сухарь) !_;52,00 руб.;шт;395667
    Водоотделитель ПАЗ (влагомаслоотделитель);3 229,00 руб.;шт;395668
    Втулка аморт ПАЗ,КАМАЗ;23,00 руб.;шт;395669
    Втулка балансира (ушка пружины) ПАЗ;92,00 руб.;шт;395670
    Втулка кулака разжимного Камаз (медн. с желобком);136,00 руб.;шт;395671
    Втулка кулака разжимного Камаз (медн/сеп);56,00 руб.;шт;395672
    Втулка кулака разжимного Камаз (молибден);45,00 руб.;шт;395673
    Втулка кулака разжимного ПАЗ-3205 медн (ф38х41 высот 28,5 мм);108,00 руб.;шт;395674
    Втулка педали сцепления ПАЗ-3205;38,00 руб.;шт;395675
    Втулка педали тормоза ПАЗ;8,00 руб.;шт;395676
    Втулка стабилизатора КАВЗ (стойки) конус;160,00 руб.;шт;395677
    Втулка шкворня ПАЗ,ЗИЛ-130 Бронза ;485,00 руб.;шт;395678
    Втулка шкворня ПАЗ,ЗИЛ-130 Медная ;172,00 руб.;шт;395679
    Выжимной подшипник ПАЗ 245 дв без вилки;2 157,00 руб.;шт;395680
    Выключатель сигнала торм гидравл КАМАЗ,ЗИЛ (плоские клеммы) (М12);307,00 руб.;шт;395681
    Гайка крепления коррект пруж (бол) ПАЗ;134,00 руб.;шт;395682
