Наименование;Цена;Ед.;Артикул
    12507 подшипник вторичного вала раз-ки 2121;740,00 руб.;шт;173124
    156704 подшипник КПП пром.вала зад. опоры 2101 ;710,00 руб.;шт;173125
    2007807 подшипник сателлитов моста 2123;430,00 руб.;шт;173126
    42205 подшипник КПП перв.вала 2108 ( ролик.);478,00 руб.;шт;173127
    42305 подшипник КПП втор.вала  2108-10 Вологда;410,00 руб.;шт;173128
    464706 подшипник КПП 2108 игол;42,00 руб.;шт;173129
    464904 подшипник КПП 2101 игол;33,00 руб.;шт;173130
    750306 подшипник КПП вторич. вала 2123 закрытый;645,00 руб.;шт;173131
    750706 подшипник КПП первич. вала 2123 закрытый;950,00 руб.;шт;173132
    7705 подшипник хвостовика  редук.задн.моста 2101;425,00 руб.;шт;173133
    7707 подшипник диф-ла редук.задн.моста 2101;395,00 руб.;шт;173134
    7807 подшипник ведушей шестерни редук.задн.моста 2101;495,00 руб.;шт;173135
    92705 подшипник КПП пром.вала перед.оп. 2101ролик.;600,00 руб.;шт;173136
    Амортизатор 1119 Калина зад CLASSIC  АСОМИ к-т_;4 100,00 руб.;компл;173137
    Амортизатор 1119 Калина зад газонап PRO  АСОМИ к-т_;4 100,00 руб.;компл;173138
    Амортизатор 2101-07 зад масло СААЗ (Автоваз);825,00 руб.;шт;173139
    Амортизатор 2101-07 пер масло СААЗ;820,00 руб.;шт;173140
    Амортизатор 2108-09 зад SS20 к-т Комфорт_;5 023,00 руб.;шт;173141
    Амортизатор 2108-09 зад АСОМИ CLASSIC (к-т)_;4 100,00 руб.;компл;173142
    Амортизатор 2108-09 зад газонап KAYABA 341824_;2 768,00 руб.;шт;173143
    Амортизатор 2108-09 зад газонап PRO АСОМИ к-т_;4 100,00 руб.;компл;173144
    Амортизатор 2108-09 зад масло СААЗ;1 805,00 руб.;шт;173145
    Амортизатор 2108-12 зад масло KAYABA Premium 441824_;2 563,00 руб.;шт;173146
    Амортизатор 2110-12 перед патрон  KAYABA 665503 !!!;2 204,00 руб.;шт;173147
    Амортизатор 2121 зад масл (СААЗ);830,00 руб.;шт;173148
    Амортизатор 2121 пер масло СААЗ;852,00 руб.;шт;173149
    Амортизатор 21214 зад масл СААЗ;1 267,00 руб.;шт;173150
    Амортизатор 2123 Шевроле-Нива зад масл СААЗ;1 298,00 руб.;шт;173151
    Амортизатор 2123 Шевроле-Нива пер SS20 к-т_;3 608,00 руб.;шт;173152
    Амортизатор 2123 Шевроле-Нива пер масл СААЗ;1 286,00 руб.;шт;173153
    Амортизатор 2170 Приора зад масл СААЗ;1 910,00 руб.;шт;173154
"    Амортизатор 2190 Гранта зад масл СААЗ ""Автоваз""";1 835,00 руб.;шт;173155
"    Амортизатор Лада Веста зад масл (ОАО ""АВТОВАЗ"") СААЗ";3 410,00 руб.;шт;173156
    Амортизатор Ларгус зад (грузов) АВТОВАЗ;5 020,00 руб.;шт;173157
    Амортизатор Ларгус зад (с пыльником и отбойником) АТ;1 553,00 руб.;шт;173158
    Амортизатор подвески глушителя 1118 Калина БРТ;55,00 руб.;шт;173159
    Амортизатор подвески глушителя 1118 Калина полиуретан.;41,00 руб.;шт;173160
"    Амортизатор подвески глушителя 2101-07 (к-т) (ремень ""крючок""-2 шт., подушка ""ромбик-1шт."") БРТ";149,00 руб.;компл;173161
    Амортизатор подвески глушителя 2108 (1 шт) Резин;36,00 руб.;шт;173162
    Амортизатор подвески глушителя 21213, 2110 БРТ;158,00 руб.;шт;173163
    Амортизатор подвески глушителя 21213, 2110 полиуретан.;83,00 руб.;шт;173164
    Амортизатор подвески глушителя 2170 Приора БРТ;65,00 руб.;шт;173165
    Амортизатор подвески глушителя 2170 Приора полиуретан.;62,00 руб.;шт;173166
    Арка зад колеса 2101-07 наруж. правая !!!;287,00 руб.;шт;173167
    Арка зад колеса 2101-07 наружн. левая ;287,00 руб.;шт;173168
    Арка зад колеса 2105-07  внутр. левая !!!;810,00 руб.;шт;173169
    Арка зад колеса 2108-099,2113-15 внутр лев ;1 967,00 руб.;шт;173170
    Арка зад колеса 2110-12  наруж.левая !!!;810,00 руб.;шт;173171
    Арка зад колеса 2110-12  наруж.правая !!!;810,00 руб.;шт;173172
    Арка зад колеса 2123  внутр.левая !!!;1 456,00 руб.;шт;173173
    Арка зад колеса 2123  внутр.правая !!!;1 456,00 руб.;шт;173174
    Арка колеса 2108 внутр. правая !!!;1 415,00 руб.;шт;173175
    Бак топливный 2101 карб.!!!;4 264,00 руб.;шт;173176
    Бак топливный 21073 инж.в сборе с б/насос;7 688,00 руб.;шт;173177
    Балка зад подвески 1118 Калина ;7 800,00 руб.;шт;173178
    Балка зад подвески 2108,2110-12;6 000,00 руб.;шт;173179
    Балка передней подвески 2110 8 кл. ;2 750,00 руб.;шт;173180
    Балка передней подвески 2112 ;2 750,00 руб.;шт;173181
    Бампер 1118 Калина зад под покраску АВТОВАЗ;2 922,00 руб.;шт;173182
    Бампер 1119 Калина зад под покраску АВТОВАЗ;3 000,00 руб.;шт;173183
    Бампер 2105 зад в сб;2 050,00 руб.;шт;173184
    Бампер 2106 зад в сб;2 500,00 руб.;шт;173185
    Бампер 2106 пер в сб;2 390,00 руб.;шт;173186
    Бампер 2108-99 пер голый;2 307,00 руб.;шт;173187
    Бампер 2109 задний голый;2 153,00 руб.;шт;173188
    Бампер 21099 зад голый;2 563,00 руб.;шт;173189
    Бампер 2110 зад под покраску;2 399,00 руб.;шт;173190
