Наименование;Цена;Ед.;Артикул
    102211 подшипник УАЗ вала колесного редуктора ;918,00 руб.;шт;431963
    102304 подшипник хвостовика главн пары УАЗ переднего конца (роликов);355,00 руб.;шт;431964
    127509 подшипник ступ.УАЗ;820,00 руб.;шт;431965
    20703 подшипник натяж.ролика (внутр) 53,ПАЗ,вод.насоса УАЗ;160,00 руб.;шт;431966
    292305 подшипник промежуточного вала УАЗ;520,00 руб.;шт;431967
    3056207 подшипник втор вала КПП УАЗ сдвоенн (канавка в середине);985,00 руб.;шт;431968
    307 подшипник раздатка,вал привода з/моста УАЗ (шариков без канавки);317,00 руб.;шт;431969
    406 АК подшипник УАЗ ведущей шестерни кол.ред.з/м внутр;566,00 руб.;шт;431970
    50208 (6208) подшипник первич вала КПП УАЗ;338,00 руб.;шт;431971
    57707 подшипник редуктор УАЗ ;1 255,00 руб.;шт;431972
    5КК 45х50х39Е Подшипник игольчатый КПП УАЗ ;87,00 руб.;шт;431973
    664908 подшипник игольч КПП УАЗ (втор вала);130,00 руб.;шт;431974
    67205А (L30205) подшипник с буртиком КПП УАЗ (5-ти ступ);928,00 руб.;шт;431975
    692306 подшипник роликовый УАЗ ПАТРИОТ;895,00 руб.;шт;431976
    7206 (30206) подшипник КПП УАЗ (5-ти ступ);220,00 руб.;шт;431977
    7608 подшипник ступ пер.нар.ПАЗ,ЗиЛ, ведущ шестени гл.пер. УАЗ-3160;890,00 руб.;шт;431978
    834904 подшипник игольч КПП УАЗ с внутр втулкой (шестерни зад хода);330,00 руб.;шт;431979
    Амортизатор 3302 КЕНО газовый (со втулками);1 493,00 руб.;шт;431980
    Амортизатор УАЗ-3151 пружинн пер газнап АДС (короткие) *;2 005,00 руб.;шт;431981
    Амортизатор УАЗ-3151 пружинн пер газнап КЕНО (короткие) **;1 428,00 руб.;шт;431982
    Амортизатор УАЗ-31512,3741 пер/зад газонап АДС *;2 260,00 руб.;шт;431983
    Амортизатор УАЗ-31512,3741 пер/зад газонап КЕНО **;1 425,00 руб.;шт;431984
    Амортизатор УАЗ-31512,3741 пер/зад масл АДС **;1 830,00 руб.;шт;431985
    Амортизатор УАЗ-31512,3741 пер/зад масл СААЗ *;1 320,00 руб.;шт;431986
"    Амортизатор УАЗ-3163 задн газонап Профи (металлич пыльник) (51.2915010)  ОАО ""УАЗ""";1 975,00 руб.;шт;431987
    Амортизатор УАЗ-3163 задн Скопин газонап упак УАЗ;1 670,00 руб.;шт;431988
    Амортизатор УАЗ-3163 пер АДС газонап **;2 495,00 руб.;шт;431989
    Амортизатор УАЗ-3163 пер СКОПИН газонап упак УАЗ *;1 964,00 руб.;шт;431990
    Арка заднего колеса УАЗ 3741 жесть (внутри салона) (кожух колеса) ;1 179,00 руб.;шт;431991
    Арка крыла УАЗ 3162 пластмасс задн. лев. черн.(расширитель);1 351,00 руб.;шт;431992
    Арка крыла УАЗ 3162 пластмасс задн. прав. черн (расширитель);1 351,00 руб.;шт;431993
    Арка крыла УАЗ 3162 пластмасс пер. лев. черн (расширитель);1 191,00 руб.;шт;431994
    Арка крыла УАЗ 3162 пластмасс пер. прав. черн (расширитель);1 210,00 руб.;шт;431995
    Арка крыла УАЗ Профи пластмасс пер. левая (расширитель) _;1 805,00 руб.;шт;431996
"    Бак топливный УАЗ 3303 борт погружн насос основной левый (ОАО ""УАЗ"")";7 802,00 руб.;шт;431997
    Бак топливный УАЗ 452 инжекторный ДОПОЛНИТЕЛЬНЫЙ малый _;9 120,00 руб.;шт;431998
    Бак топливный УАЗ 452 погруж насос основн  ЗАВОД ;9 620,00 руб.;шт;431999
"    Бак топливный УАЗ 452 погруж насос основн Аналог ""БАКОР""";9 122,00 руб.;шт;432000
"    Бак топливный УАЗ 452 простой насос основной левый (ОАО ""УАЗ"")";7 054,00 руб.;шт;432001
    Бак топливный УАЗ Патриот под ПОГРУЖН насос правый;9 940,00 руб.;шт;432002
    Бак топливный УАЗ Хантер инжект левый;7 850,00 руб.;шт;432003
    Бак топливный УАЗ Хантер инжект правый;7 550,00 руб.;шт;432004
    Бампер УАЗ  Хантер зад (пластм) пустышка;2 080,00 руб.;шт;432005
    Бампер УАЗ  Хантер передн (пластм) пустышка;1 350,00 руб.;шт;432006
    Бампер УАЗ 3163 (до 2015) перед под покраску (накладка);3 199,00 руб.;шт;432007
    Бампер УАЗ 3163 (после 2015г.) задн под покраску _;4 486,00 руб.;шт;432008
